Name, Batch Dimension, ARows, ACols, BCols, B1, B2, B3, Correctness, Time
kernel8x16,1,1000,1000,1000,120,120,120,1,0.0188855
kernel14x8,1,1000,1000,1000,120,120,120,1,0.017238
kernel4x12,1,1000,1000,1000,120,120,120,1,0.0172651
kernel10x12,1,1000,1000,1000,120,120,120,1,0.0171249
kernel14x16,1,1000,1000,1000,120,120,120,1,0.0235093
kernel18x20,1,1000,1000,1000,120,120,120,1,0.0231939
kernel12x24,1,1000,1000,1000,120,120,120,1,0.0214396
kernel12x32,1,1000,1000,1000,120,120,120,1,0.0225696
kernel8x16,4,2000,2000,2000,120,120,120,1,0.405297
kernel14x8,4,2000,2000,2000,120,120,120,1,0.435341
kernel4x12,4,2000,2000,2000,120,120,120,1,0.496687
kernel10x12,4,2000,2000,2000,120,120,120,1,0.449131
kernel14x16,4,2000,2000,2000,120,120,120,1,0.635641
kernel18x20,4,2000,2000,2000,120,120,120,1,0.654036
kernel12x24,4,2000,2000,2000,120,120,120,1,0.640955
kernel12x32,4,2000,2000,2000,120,120,120,1,0.657144
kernel8x16,1,1000,1000,1000,120,120,240,1,0.0202671
kernel14x8,1,1000,1000,1000,120,120,240,1,0.0198715
kernel4x12,1,1000,1000,1000,120,120,240,1,0.0197062
kernel10x12,1,1000,1000,1000,120,120,240,1,0.0195264
kernel14x16,1,1000,1000,1000,120,120,240,1,0.0254438
kernel18x20,1,1000,1000,1000,120,120,240,1,0.0263057
kernel12x24,1,1000,1000,1000,120,120,240,1,0.0255588
kernel12x32,1,1000,1000,1000,120,120,240,1,0.024426
kernel8x16,4,2000,2000,2000,120,120,240,1,0.403081
kernel14x8,4,2000,2000,2000,120,120,240,1,0.439955
kernel4x12,4,2000,2000,2000,120,120,240,1,0.496441
kernel10x12,4,2000,2000,2000,120,120,240,1,0.451934
kernel14x16,4,2000,2000,2000,120,120,240,1,0.628473
kernel18x20,4,2000,2000,2000,120,120,240,1,0.65142
kernel12x24,4,2000,2000,2000,120,120,240,1,0.632093
kernel12x32,4,2000,2000,2000,120,120,240,1,0.651598
kernel8x16,1,1000,1000,1000,120,120,480,1,0.0213329
kernel14x8,1,1000,1000,1000,120,120,480,1,0.0211029
kernel4x12,1,1000,1000,1000,120,120,480,1,0.0223652
kernel10x12,1,1000,1000,1000,120,120,480,1,0.0221196
kernel14x16,1,1000,1000,1000,120,120,480,1,0.0259441
kernel18x20,1,1000,1000,1000,120,120,480,1,0.0275877
kernel12x24,1,1000,1000,1000,120,120,480,1,0.0284661
kernel12x32,1,1000,1000,1000,120,120,480,1,0.0271323
kernel8x16,4,2000,2000,2000,120,120,480,1,0.405848
kernel14x8,4,2000,2000,2000,120,120,480,1,0.467746
kernel4x12,4,2000,2000,2000,120,120,480,1,0.531322
kernel10x12,4,2000,2000,2000,120,120,480,1,0.476562
kernel14x16,4,2000,2000,2000,120,120,480,1,0.644159
kernel18x20,4,2000,2000,2000,120,120,480,1,0.669751
kernel12x24,4,2000,2000,2000,120,120,480,1,0.66717
kernel12x32,4,2000,2000,2000,120,120,480,1,0.660954
kernel8x16,1,1000,1000,1000,120,240,120,1,0.0212131
kernel14x8,1,1000,1000,1000,120,240,120,1,0.0173467
kernel4x12,1,1000,1000,1000,120,240,120,1,0.0175771
kernel10x12,1,1000,1000,1000,120,240,120,1,0.0176688
kernel14x16,1,1000,1000,1000,120,240,120,1,0.0221407
kernel18x20,1,1000,1000,1000,120,240,120,1,0.0230757
kernel12x24,1,1000,1000,1000,120,240,120,1,0.0240763
kernel12x32,1,1000,1000,1000,120,240,120,1,0.0232718
kernel8x16,4,2000,2000,2000,120,240,120,1,0.409818
kernel14x8,4,2000,2000,2000,120,240,120,1,0.440526
kernel4x12,4,2000,2000,2000,120,240,120,1,0.499418
kernel10x12,4,2000,2000,2000,120,240,120,1,0.452237
kernel14x16,4,2000,2000,2000,120,240,120,1,0.633432
kernel18x20,4,2000,2000,2000,120,240,120,1,0.657883
kernel12x24,4,2000,2000,2000,120,240,120,1,0.645392
kernel12x32,4,2000,2000,2000,120,240,120,1,0.654657
kernel8x16,1,1000,1000,1000,120,240,240,1,0.0211191
kernel14x8,1,1000,1000,1000,120,240,240,1,0.0203002
kernel4x12,1,1000,1000,1000,120,240,240,1,0.0205535
kernel10x12,1,1000,1000,1000,120,240,240,1,0.0198601
kernel14x16,1,1000,1000,1000,120,240,240,1,0.0246211
