Name, Time, Batch Dimension, ARows, ACols, BCols, B1, B2, B3, Correctness
kernel12x32,0.0274642,1,1000,1000,1000,120,240,480,1
kernel8x16,0.419033,4,2000,2000,2000,120,240,480,1
kernel14x8,0.473549,4,2000,2000,2000,120,240,480,1
kernel4x12,0.537153,4,2000,2000,2000,120,240,480,1
kernel10x12,0.481782,4,2000,2000,2000,120,240,480,1
kernel14x16,0.644447,4,2000,2000,2000,120,240,480,1
kernel18x20,0.662405,4,2000,2000,2000,120,240,480,1
kernel12x24,0.669265,4,2000,2000,2000,120,240,480,1
kernel12x32,0.663806,4,2000,2000,2000,120,240,480,1
kernel8x16,0.0216191,1,1000,1000,1000,120,480,120,1
kernel14x8,0.0189336,1,1000,1000,1000,120,480,120,1
kernel4x12,0.0188318,1,1000,1000,1000,120,480,120,1
kernel10x12,0.0190324,1,1000,1000,1000,120,480,120,1
kernel14x16,0.0237777,1,1000,1000,1000,120,480,120,1
kernel18x20,0.0240294,1,1000,1000,1000,120,480,120,1
kernel12x24,0.0245883,1,1000,1000,1000,120,480,120,1
kernel12x32,0.0241253,1,1000,1000,1000,120,480,120,1
kernel8x16,0.417992,4,2000,2000,2000,120,480,120,1
kernel14x8,0.458303,4,2000,2000,2000,120,480,120,1
kernel4x12,0.505276,4,2000,2000,2000,120,480,120,1
kernel10x12,0.471985,4,2000,2000,2000,120,480,120,1
kernel14x16,0.639071,4,2000,2000,2000,120,480,120,1
kernel18x20,0.665308,4,2000,2000,2000,120,480,120,1
kernel12x24,0.661638,4,2000,2000,2000,120,480,120,1
kernel12x32,0.668758,4,2000,2000,2000,120,480,120,1
kernel8x16,0.0306224,1,1000,1000,1000,120,480,240,1
kernel14x8,0.0212195,1,1000,1000,1000,120,480,240,1
kernel4x12,0.0212308,1,1000,1000,1000,120,480,240,1
kernel10x12,0.0208831,1,1000,1000,1000,120,480,240,1
kernel14x16,0.0262485,1,1000,1000,1000,120,480,240,1
kernel18x20,0.0271959,1,1000,1000,1000,120,480,240,1
kernel12x24,0.0255799,1,1000,1000,1000,120,480,240,1
kernel12x32,0.0251863,1,1000,1000,1000,120,480,240,1
kernel8x16,0.418042,4,2000,2000,2000,120,480,240,1
kernel14x8,0.45482,4,2000,2000,2000,120,480,240,1
kernel4x12,0.504885,4,2000,2000,2000,120,480,240,1
kernel10x12,0.465152,4,2000,2000,2000,120,480,240,1
kernel14x16,0.630248,4,2000,2000,2000,120,480,240,1
